"","season","off","fumbles","fep","fumble_rate_100","post"
"327",2010,"DAL",22,839,2.62216924910608,1
"328",2010,"DEN",20,776,2.57731958762887,1
"329",2010,"DET",15,818,1.83374083129584,1
"330",2010,"GB",15,816,1.83823529411765,1
"331",2010,"HOU",15,821,1.82704019488429,1
"332",2010,"IND",10,862,1.16009280742459,1
"333",2010,"JAC",17,850,2,1
"334",2010,"KC",11,866,1.270207852194,1
"335",2010,"MIA",18,821,2.19244823386114,1
"336",2010,"MIN",16,786,2.03562340966921,1
"337",2010,"NE",6,810,0.740740740740741,1
"338",2010,"NO",17,859,1.9790454016298,1
"339",2010,"NYG",21,835,2.51497005988024,1
"340",2010,"NYJ",19,851,2.23266745005875,1
"341",2010,"OAK",24,830,2.89156626506024,1
"342",2010,"PHI",22,829,2.65379975874548,1
"343",2010,"PIT",19,823,2.3086269744836,1
"344",2010,"SD",21,856,2.45327102803738,1
"345",2010,"SEA",12,749,1.60213618157543,1
"346",2010,"SF",18,729,2.46913580246914,1
"347",2010,"STL",10,818,1.22249388753056,1
"348",2010,"TB",20,771,2.59403372243839,1
"349",2010,"TEN",18,705,2.5531914893617,1
"350",2010,"WAS",23,747,3.07898259705489,1
"351",2011,"ARI",21,752,2.79255319148936,1
"352",2011,"ATL",11,846,1.30023640661939,1
"353",2011,"BAL",16,809,1.97775030902349,1
"354",2011,"BUF",15,771,1.94552529182879,1
"355",2011,"CAR",12,797,1.50564617314931,1
"356",2011,"CHI",22,775,2.83870967741935,1
"357",2011,"CIN",12,789,1.52091254752852,1
"358",2011,"CLE",18,777,2.31660231660232,1
"359",2011,"DAL",20,824,2.42718446601942,1
"360",2011,"DEN",22,805,2.73291925465838,1
"361",2011,"DET",13,817,1.59118727050184,1
"362",2011,"GB",7,812,0.862068965517241,1
"363",2011,"HOU",17,868,1.95852534562212,1
"364",2011,"IND",23,724,3.1767955801105,1
"365",2011,"JAC",23,774,2.97157622739018,1
"366",2011,"KC",11,824,1.33495145631068,1
"367",2011,"MIA",25,806,3.10173697270471,1
